Name,Language,Description,URL,Stars,Month
DeepNude-an-Image-to-Image-technology,python,Research techniques and papers related to image generation and image restoration used by DeepNude. 研究DeepNude使用的图像生成和图像修复相关的技术和论文。,https://github.com/yuanxiaosc/DeepNude-an-Image-to-Image-technology,530,7
Python,python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,311,7
PyRoyale,python,A open-source server emulator for Mario Royale browser game.,https://github.com/Igoorx/PyRoyale,32,7
machine_learning_examples,python,A collection of machine learning examples and tutorials.,https://github.com/lazyprogrammer/machine_learning_examples,85,7
mmaction,python,,https://github.com/open-mmlab/mmaction,32,7
DeepPavlov,python,An open source library for deep learning end-to-end dialog systems and chatbots.,https://github.com/deepmipt/DeepPavlov,8,7
CRAFT-pytorch,python,Pytorch implementation of CRAFT text detector,https://github.com/clovaai/CRAFT-pytorch,14,7
pytest,python,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing",https://github.com/pytest-dev/pytest,10,7
manim,python,Animation engine for explanatory math videos,https://github.com/3b1b/manim,47,7
nlp_xiaojiang,python,自然语言处理（nlp），闲聊机器人（chatbot），BERT句向量-相似度（Sentence Similarity），文本分类（Text classify）， 实体提取（ner，bert+bilstm+crf），数据增强（text augment enhance），同义句同义词生成，句子主干提取（mainpart），中文汉语短文本相似度，文本特征工程，keras-http-service调用,https://github.com/yongzhuo/nlp_xiaojiang,16,7
open-deepnude,python,Open source reverse-engineered clone of DeepNude,https://github.com/open-deepnude/open-deepnude,228,7
dlrm,python,An implementation of a deep learning recommendation model (DLRM),https://github.com/facebookresearch/dlrm,157,7
AiLearning,python,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,https://github.com/apachecn/AiLearning,92,7
marshmallow,python,A lightweight library for converting complex objects to and from simple Python datatypes.,https://github.com/marshmallow-code/marshmallow,30,7
Real-Time-Voice-Cloning,python,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning,129,7
scikit-learn,python,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn,39,7
USTC-Course,python,❤️中国科学技术大学课程资源,https://github.com/USTC-Resource/USTC-Course,28,7
tensorpack,python,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility",https://github.com/tensorpack/tensorpack,9,7
python,python,Official Python client library for kubernetes,https://github.com/kubernetes-client/python,9,7
numpy-ml,python,"Machine learning, in numpy",https://github.com/ddbourgin/numpy-ml,409,7
RLTrader,python,A profitable cryptocurrency trading environment using deep reinforcement learning and OpenAI's gym,https://github.com/notadamking/RLTrader,87,7
zipline,python,"Zipline, a Pythonic Algorithmic Trading Library",https://github.com/quantopian/zipline,63,7
bokeh,python,Interactive Web Plotting for Python,https://github.com/bokeh/bokeh,109,7
home-assistant,python,🏡Open source home automation that puts local control and privacy first,https://github.com/home-assistant/home-assistant,86,7
esim-response-selection,python,ESIM for Multi-turn Response Selection Task,https://github.com/alibaba/esim-response-selection,60,7
pyodide,python,"The Python scientific stack, compiled to WebAssembly",https://github.com/iodide-project/pyodide,35,7
mne-python,python,MNE : Magnetoencephalography (MEG) and Electroencephalography (EEG) in Python,https://github.com/mne-tools/mne-python,4,7
ChineseBQB,python,🇨🇳Chinese sticker pack / 中国表情包大集合,https://github.com/zhaoolee/ChineseBQB,227,7
YOLOv3-model-pruning,python,对 YOLOv3 做模型剪枝（network slimming），对于 oxford hand 数据集（因项目需要），模型剪枝后的参数量减少 80%，Infer 的速度达到原来 2 倍，mAP 基本不变,https://github.com/Lam1360/YOLOv3-model-pruning,77,7
pepenude,python,PepeNude is an application that allows you to transform photos into entertaining results. CLI and GUI versions available.,https://github.com/deep-man-yy/pepenude,110,7
sherlock,python,🔎Find usernames across social networks,https://github.com/sherlock-project/sherlock,371,7
insightface,python,Face Analysis Project on MXNet,https://github.com/deepinsight/insightface,65,7
faceswap,python,Deepfakes Software For All,https://github.com/deepfakes/faceswap,66,7
DeepFaceLab,python,"DeepFaceLab is a tool that utilizes machine learning to replace faces in videos. Includes prebuilt ready to work standalone Windows 7,8,10 binary (look readme.md).",https://github.com/iperov/DeepFaceLab,62,7
Awesome-WAF,python,🔥Everything awesome about web-application firewalls (WAF).,https://github.com/0xInfection/Awesome-WAF,12,7
aws-cloudformation-templates,python,A collection of useful CloudFormation templates,https://github.com/awslabs/aws-cloudformation-templates,9,7
pipenv,python,Python Development Workflow for Humans.,https://github.com/pypa/pipenv,12,7
pytorch_geometric,python,Geometric Deep Learning Extension Library for PyTorch,https://github.com/rusty1s/pytorch_geometric,22,7
xarray,python,N-D labeled arrays and datasets in Python,https://github.com/pydata/xarray,28,7
youtube-dl,python,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,218,7
python-cheatsheet,python,Comprehensive Python Cheatsheet,https://github.com/gto76/python-cheatsheet,944,7
anki,python,Anki for desktop computers,https://github.com/dae/anki,8,7
unlocker,python,VMware Workstation macOS,https://github.com/DrDonk/unlocker,18,7
searx,python,Privacy-respecting metasearch engine,https://github.com/asciimoo/searx,9,7
dc_tts,python,A TensorFlow Implementation of DC-TTS: yet another text-to-speech model,https://github.com/Kyubyong/dc_tts,21,7
spaCy,python,💫Industrial-strength Natural Language Processing (NLP) with Python and Cython,https://github.com/explosion/spaCy,10,7
interview_internal_reference,python,2019年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,https://github.com/0voice/interview_internal_reference,2352,7
pytorch-transformers,python,👾A library of state-of-the-art pretrained models for Natural Language Processing (NLP),https://github.com/huggingface/pytorch-transformers,586,7
Realistic-Neural-Talking-Head-Models,python,My implementation of Few-Shot Adversarial Learning of Realistic Neural Talking Head Models (Egor Zakharov et al.).,https://github.com/vincent-thevenin/Realistic-Neural-Talking-Head-Models,28,7
Osmedeus,python,Fully automated offensive security framework for reconnaissance and vulnerability scanning,https://github.com/j3ssie/Osmedeus,82,7
DeepLearningExamples,python,Deep Learning Examples,https://github.com/NVIDIA/DeepLearningExamples,110,7
pytorch-CycleGAN-and-pix2pix,python,"Image-to-image translation in PyTorch (e.g., horse2zebra, edges2cats, and more)",https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,21,7
mlflow,python,Open source platform for the machine learning lifecycle,https://github.com/mlflow/mlflow,8,7
text-detection-ctpn,python,"text detection mainly based on ctpn model in tensorflow, id card detect, connectionist text proposal network",https://github.com/eragonruan/text-detection-ctpn,9,7
Deep-Flow-Guided-Video-Inpainting,python,"pytorch implementation for ""Deep Flow-Guided Video Inpainting""(CVPR'19)",https://github.com/nbei/Deep-Flow-Guided-Video-Inpainting,31,7
GitGot,python,"Semi-automated, feedback-driven tool to rapidly search through troves of public data on GitHub for sensitive secrets.",https://github.com/BishopFox/GitGot,68,7
